Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
65,Intel,Celeron,Tualatin,,,,900.0,,1,1,34.8,,44.0,80,,1.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.475,
66,Intel,Celeron,Coppermine T,,,,950.0,,1,1,28.0,,28.0,90,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.75,
215,Intel,Celeron,Conroe,,420,,1600.0,,1,1,35.0,,105.0,77,1.0,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.3375,
216,Intel,Celeron,Conroe,,430,,1800.0,,1,1,35.0,,105.0,77,1.0,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.3375,
228,Intel,Celeron,Sossaman,,,,1830.0,,1,1,27.0,,151.0,90,1.1125,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.25,
233,Intel,Celeron,Merom,,540,,1860.0,,1,1,30.0,,291.0,143,0.95,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.3,
271,Intel,Celeron,Merom,,530,,1730.0,,1,1,27.0,,291.0,143,0.95,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.3,
272,Intel,Celeron,Conroe,,220,,1200.0,,1,1,19.0,,105.0,77,1.0,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.3375,
278,Intel,Celeron,Conroe,,E1200,,1600.0,,2,2,65.0,,105.0,77,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.5,
285,Intel,Celeron,Conroe,,E1600,,2400.0,,2,2,65.0,,105.0,77,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.5,
287,Intel,Celeron,Conroe,,E1400,,2000.0,,2,2,65.0,,105.0,77,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.5,
290,Intel,Celeron,Conroe,,450,,2200.0,,1,1,35.0,,105.0,77,1.0,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.3375,
297,Intel,Celeron,Merom,,570,,2260.0,,1,1,31.0,,291.0,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,
298,Intel,Celeron,Merom,,585,,2160.0,,1,1,31.0,,291.0,143,0.95,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.3,
320,Intel,Celeron,Merom,,T1700,,1830.0,,2,2,35.0,,291.0,143,1.075,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.175,
339,Intel,Celeron,Merom,,T1600,,1660.0,,2,2,35.0,,291.0,143,1.075,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.175,
357,Intel,Celeron,Penryn,,900,,2200.0,,1,1,35.0,,410.0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,
360,Intel,Celeron,Mendocino,,,,466.0,,1,1,,,19.0,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Intel,Celeron,Penryn,,T3500,,2100.0,,2,2,35.0,,410.0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Intel,Celeron,Wolfdale,,E3500,,2700.0,,2,2,65.0,,,,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3625,
414,Intel,Celeron,Penryn,,T3300,,2000.0,,2,2,35.0,,410.0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Intel,Celeron,Arrandale,,U3400,,1060.0,,2,2,18.0,,382.0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Intel,Celeron,Prescott,,320,,2400.0,,1,1,84.0,,125.0,112,1.25,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.4,
